"Comment ID","User ID","Username","Nick Name","Comment","Comment Time","Digg Count","Author Digged","Reply Count","Pinned to Top","User Homepage"
"=""7642967757198082837""","=""7397618538758669317""","dell_sihotang","dell_sihotang","saya paling suka orang Indonesia, karena memiliki orang yang asik dan menggugah selera. saya mengetik ini memakai translate, saya berasal dari medan","23/5/2026, 13.24.26","3932","No","62","No","https://www.tiktok.com/@dell_sihotang"
"=""7642779557087707922""","=""7404764650212066310""","juliiani.ananda","Juliiani Ananda","ksian x yg chekin jam 1 dh idup 😭","23/5/2026, 01.08.15","979","No","39","No","https://www.tiktok.com/@juliiani.ananda"
"=""7642896845078217479""","=""6876420365707920385""","awokawokiw","teengirl","gara"" mati lampu ini, kami sekeluarga tidur diteras tadi malam karna panas kali😭😭","23/5/2026, 08.43.31","5744","No","39","No","https://www.tiktok.com/@awokawokiw"
"=""7643068683783815954""","=""7525430565895291911""","bukan21.aku","user_10","anak wifi apa kabar?","23/5/2026, 19.50.15","47","No","19","No","https://www.tiktok.com/@bukan21.aku"
"=""7642923369416409876""","=""6499120236121407490""","chacabie","Chacabie","tinggal di kota,berasa tinggal dihutan,sampe skrng blom idup juga 😌","23/5/2026, 10.26.36","437","No","20","No","https://www.tiktok.com/@chacabie"
"=""7643477302248817428""","=""79955146564""","norma_w97","normawati","ini beneran sepulau pulau matinya","24/5/2026, 22.15.54","0","No","1","No","https://www.tiktok.com/@norma_w97"
"=""7642938054362252052""","=""6790545969898865666""","tika_danora","Tika Tambunan 🎼✨","Anj banget emang, ga kepikiran buat tidur dihotel tadi malam 😭","23/5/2026, 11.23.21","41","No","13","No","https://www.tiktok.com/@tika_danora"
"=""7643115723346314004""","=""7459202499124839432""","hii_anonim","Senja_15","dimedan Apapun masalahnya yang antri pasti SPBU😂😭🤭","23/5/2026, 22.52.44","6","No","2","No","https://www.tiktok.com/@hii_anonim"
"=""7642999403037754130""","=""6946791780089480194""","lightmatchaa1","ᰔᩚ٭╶𝒏𝒂𝒊𝒍𝒂𝒉∘˙•ও","[Stiker] part 2 katanya weh hari ini jam 18.18","23/5/2026, 15.21.19","23","No","31","No","https://www.tiktok.com/@lightmatchaa1"
"=""7643450837230289671""","=""7642923743602377746""","ayufauzi636","nin_ lovers❤","ampun kali wee","24/5/2026, 20.33.07","1","No","0","No","https://www.tiktok.com/@ayufauzi636"
"=""7642872992284246801""","=""7489823983149286417""","chyntiaagtha_g.purba","chyntia_agtha","di tempat ku belum hidup hidup lampu nya dari semalam anjir 😭","23/5/2026, 07.11.25","2065","No","54","No","https://www.tiktok.com/@chyntiaagtha_g.purba"
"=""7642941806053606164""","=""6533579890591219713""","batak__pride","Akun Gabut","yg hidupnya gk bisa tanpa scrol HP pasti tdi malam gelisah 😂😂","23/5/2026, 11.38.08","144","No","5","No","https://www.tiktok.com/@batak__pride"
"=""7643490149514806036""","=""7541775090347213840""","dian_sri_indah","Indah","snt apa woi","24/5/2026, 23.05.42","0","No","0","No","https://www.tiktok.com/@dian_sri_indah"
"=""7642960433297589012""","=""7535006257875420165""","rewwvaa","bobaa","baru hidup 14.49 apa gak maen kali","23/5/2026, 12.50.16","15","No","13","No","https://www.tiktok.com/@rewwvaa"
"=""7642982751452463880""","=""7499473352034272263""","name.lynn5","call me lyn.","YA TUHAN BARU SEHARI SAMPE BANYAK BANGET BERITANYA😭","23/5/2026, 14.16.43","965","No","13","No","https://www.tiktok.com/@name.lynn5"
"=""7643037599271863047""","=""6815050824550155265""","noinmoonsz","zahrasiregarr","DIRUMAHKU BARU IDOPPP WEEEE PATEN KALI EMG SRI GUNTING INI😭😭😭","23/5/2026, 17.49.36","22","No","7","No","https://www.tiktok.com/@noinmoonsz"
"=""7642944347172504338""","=""6829240754947539969""","acc_raaa","•♡°☆ミ","kalo beneran 3 hari 3 malem matinya gmn la ini 😭😭","23/5/2026, 11.47.44","4","No","13","No","https://www.tiktok.com/@acc_raaa"
"=""7643008613985207058""","=""6700862827274650625""","4meyicano","es","semua orang dijalan pada kalungan charger😭🙏","23/5/2026, 15.57.11","504","No","2","No","https://www.tiktok.com/@4meyicano"
"=""7642896663723655953""","=""6760063423223202817""","callmepiika","asdhjkf","tembong udh nyala blm sii😭","23/5/2026, 08.42.41","3","No","17","No","https://www.tiktok.com/@callmepiika"
"=""7642981292926092053""","=""7091685663082923034""","blueejjhluv","nayaa✮","kami medan pancing belum idopp sampe skrg jam 2 siang","23/5/2026, 14.11.14","5","No","7","No","https://www.tiktok.com/@blueejjhluv"
"=""7642930603067687698""","=""7079690748312568834""","penghunisurganich","sengsantun","yang baru hidup cung 😭😭","23/5/2026, 10.54.22","461","No","8","No","https://www.tiktok.com/@penghunisurganich"
"=""7642968439902094100""","=""7535006257875420165""","rewwvaa","bobaa","mati lagi jam 10 katanya weh?","23/5/2026, 13.21.24","3","No","38","No","https://www.tiktok.com/@rewwvaa"
"=""7642888960868893458""","=""6966614981932663809""","gataujodoh","DUTA LDR","Dari 18.30 sampai detik ini dirumahku belum hidup, sementara tetangga depan rumah udah hidup listriknya 😭😭","23/5/2026, 08.12.56","88","No","13","No","https://www.tiktok.com/@gataujodoh"
"=""7643116148259472136""","=""6913774096829416449""","mrvbell","Rossiebell","Udah 29 jam mati lampu weeee","23/5/2026, 22.54.26","6","No","5","No","https://www.tiktok.com/@mrvbell"
"=""7643039196022162196""","=""7227487335549453339""","yh_poke","gabe","[Stiker] sumatera tadi malam","23/5/2026, 17.55.58","108","No","1","No","https://www.tiktok.com/@yh_poke"
"=""7643073093161730824""","=""6738820213070038017""","hannatria","Jean","barusan org rame rame borong lilin trs ga lama listrik nyala 😭","23/5/2026, 20.07.15","71","No","4","No","https://www.tiktok.com/@hannatria"
"=""7642894226263311121""","=""6907290391406576641""","pirmannajaa","f!rmannn","sampe skrg ga idop"" disini ah","23/5/2026, 08.33.21","70","No","12","No","https://www.tiktok.com/@pirmannajaa"
"=""7643051135368889109""","=""7116010626098922497""","bebyboo071","icaaaaa","DISINI BRU IDOP WEE😭","23/5/2026, 18.42.16","10","No","6","No","https://www.tiktok.com/@bebyboo071"
"=""7642879674184139541""","=""6784737150706713601""","rahelsinagaa_21","Rahel Octavia Sinaga","helvet jam 10 dah nyala","23/5/2026, 07.36.54","2","No","10","No","https://www.tiktok.com/@rahelsinagaa_21"
"=""7642869912701403924""","=""7076114663117358106""","yyaceewwww","yayaa","inpo panceng jam brp idop lampu","23/5/2026, 06.59.26","4","No","11","No","https://www.tiktok.com/@yyaceewwww"
"=""7642926159814902549""","=""7106424143739094042""","ffryyn_","fa","wee jaringan axis emang belom ada ya?","23/5/2026, 10.37.17","6","No","8","No","https://www.tiktok.com/@ffryyn_"
"=""7642936896267518727""","=""7431498679422682118""","akutauakucantik1","Eva","Ini jaringan memang nge leg apa cuman aku aja ?","23/5/2026, 11.18.43","5","No","5","No","https://www.tiktok.com/@akutauakucantik1"
"=""7642996332626395921""","=""7605048560590291969""","ameliaa277777","Z","di ayahanda bru nyala ih 😭😭😭😭😭😭😭","23/5/2026, 15.09.51","2","No","12","No","https://www.tiktok.com/@ameliaa277777"
"=""7642977735938016021""","=""7517283102030201864""","p.mabar.yok4","🦋 ˃ 𖥦 ˂","udah malam malam panas banyak nyamuk lagi apanya PLN Medan ini 😭","23/5/2026, 13.57.25","7","No","2","No","https://www.tiktok.com/@p.mabar.yok4"
"=""7643040242069095186""","=""7096537443089237018""","eerrrraaaa6","ᶻ 𝗓 𐰁","woii udah hidup lampuu, udah ga ky orng stres lgi, udahhhhh tenang aman damai😭🫰🏻😘","23/5/2026, 17.59.49","29","No","13","No","https://www.tiktok.com/@eerrrraaaa6"
"=""7643054916348642069""","=""7263457374224532481""","ndkarooo0","Rindu br Surbakti","bayangkan we 23 jam mati lampu","23/5/2026, 18.56.46","10","No","3","No","https://www.tiktok.com/@ndkarooo0"
"=""7643104078406992657""","=""6940703880053326850""","alora140","AloRa","hotel kok gak ikut mati lmpu","23/5/2026, 22.07.42","1","No","1","No","https://www.tiktok.com/@alora140"
"=""7643055317929280264""","=""6872695714730230785""","bluwie_sgn","blowie✨","[Stiker] cis dulu yang lampu ny udah hidup","23/5/2026, 18.58.21","15","No","1","No","https://www.tiktok.com/@bluwie_sgn"
"=""7643085599834686226""","=""7363309713436296197""","la_lalaa01","yeeyeeyeye","kak, kami sekeluarga sampe ke kolam renang biar mandi😇","23/5/2026, 20.55.50","4","No","2","No","https://www.tiktok.com/@la_lalaa01"
"=""7643013926997377812""","=""6679288597789312001""","user718060060817","ℳ","baru hidup 😭😭😭😭😔","23/5/2026, 16.17.50","0","No","0","No","https://www.tiktok.com/@user718060060817"
"=""7643048245934048008""","=""7304088178721457153""","umyknowdv","kringggg","kocak x😭","23/5/2026, 18.30.56","0","No","0","No","https://www.tiktok.com/@umyknowdv"
"=""7643030355624903431""","=""7304922907942978561""","yzdwsfebqvx","nothing.","anjjjj hampir 24 jam mati lampu 😭
baru hidup jam 17.00 tadi, jaringan pun belum normal, air gdak..kimbek kali la memanggg😭😭😭😭😭","23/5/2026, 17.21.28","43","No","3","No","https://www.tiktok.com/@yzdwsfebqvx"
"=""7643095782950322964""","=""7222792059811726338""","k3pokalikau","NABILA NASUTION","aku tim checkin🤣","23/5/2026, 21.35.23","0","No","0","No","https://www.tiktok.com/@k3pokalikau"
"=""7642919520067420948""","=""7260464856771019781""","mellykirana07","mel_29","Sunggal km 12 dr td Mlmm smpek skrg Bru hdup😭","23/5/2026, 10.11.25","11","No","9","No","https://www.tiktok.com/@mellykirana07"
"=""7643093937687413521""","=""6857134879277663234""","bbycheicu","sheilaMDN","[Stiker] panassssssss","23/5/2026, 21.28.24","0","No","0","No","https://www.tiktok.com/@bbycheicu"
"=""7642986954786685717""","=""7201122072012981253""","watchmedanindonesia","watchmedanindonesia","masih mati lampu kan woiii
tempt Kelen udh hidup lampu blm","23/5/2026, 14.33.05","5","No","22","No","https://www.tiktok.com/@watchmedanindonesia"
"=""7643026580241023751""","=""7441526279201408007""","ahmad_fahmi.2","f","di umsu kan emang masih ada event tadi malem iya ga si?","23/5/2026, 17.06.48","1","No","0","No","https://www.tiktok.com/@ahmad_fahmi.2"
"=""7643066773688288001""","=""7061979063212229633""","paini439","ᵐꜞᔆᔆ᭄ Qᴜᴇᴇɴ✿࿐","sama bang😭","23/5/2026, 20.00.03","0","No","0","No","https://www.tiktok.com/@paini439"
"=""7642972783442068245""","=""7175464056612996123""","asaharsa6","sannst","kami disini belum hidup udah
17 jam 😭","23/5/2026, 13.38.11","8","No","6","No","https://www.tiktok.com/@asaharsa6"
"=""7643127974813188884""","=""6810401557629748226""","wahyusunarliss_","Wahyuu s","Umsu selalu menyalaa","23/5/2026, 23.40.25","0","No","0","No","https://www.tiktok.com/@wahyusunarliss_"
"=""7643053974686221064""","=""7046681121874035739""","arbi.nnda","N A N D A","iya wak iya wak","23/5/2026, 18.53.09","0","No","0","No","https://www.tiktok.com/@arbi.nnda"
"=""7642976605392356117""","=""7151049460398326785""","cookiespyiw_","𝓁𝓎𝓎𔓘 ࣪˖ ִ","18jam matlam apa ga besibuk semua orng 😭😭😭","23/5/2026, 13.52.57","16","No","2","No","https://www.tiktok.com/@cookiespyiw_"
"=""7643035458217771796""","=""7154283173743412226""","urell114","uurlyyy","skrang baru bisa buka sosmed🥰","23/5/2026, 17.41.19","7","No","0","No","https://www.tiktok.com/@urell114"
"=""7643114854820135700""","=""6789944447893128193""","yvonne.yelena.yuvr","౨ৎ⋆♬♩𝕐ׁׅ᥎ׁׅєᴛ𝒕ɛ𓆝୨୧˚⋆","relate😭","23/5/2026, 22.49.31","0","No","0","No","https://www.tiktok.com/@yvonne.yelena.yuvr"
"=""7642925046118564615""","=""7521084124498265108""","samuel129888","Samuel1298","Alhamdulillah menang lagi derr Di ModJP 💚😘😘","23/5/2026, 10.32.57","66","No","7","No","https://www.tiktok.com/@samuel129888"
"=""7642944325731975957""","=""6591403610844184578""","berrycano_","aida","menyala umsu ku😭🙏🏻","23/5/2026, 11.47.47","2","No","0","No","https://www.tiktok.com/@berrycano_"
"=""7643037413388174101""","=""7622662124888491029""","zio.wijaya28","Zio Wijaya","udah hidupppp","23/5/2026, 17.48.54","0","No","0","No","https://www.tiktok.com/@zio.wijaya28"
"=""7642779938756281096""","=""7135866998541517851""","yoongis912","saaa","binjai blum hdup, hp gua udh lowbat bgt😭","23/5/2026, 13.22.52","8","No","5","No","https://www.tiktok.com/@yoongis912"
"=""7643020961491256084""","=""6505157906911428610""","pulupuluhi_","ce ceria","yg ke 2 aku bgt😔","23/5/2026, 16.45.09","0","No","0","No","https://www.tiktok.com/@pulupuluhi_"
"=""7642977334886204180""","=""7279797324909839365""","im7utt","yaww","kmi disini blm hdp sampe skrng udh 19 jam ga idup²😭","23/5/2026, 13.55.47","17","No","3","No","https://www.tiktok.com/@im7utt"
"=""7642969977494897429""","=""7546898391600301074""","nurul.selviana","Nurul Selviana","kabupaten Simalungun belum hidup sampai sekarang 😭😭😭","23/5/2026, 13.27.21","2","No","6","No","https://www.tiktok.com/@nurul.selviana"
"=""7642967502939292424""","=""6775400782827308033""","matchacihyu","lovebiscuit","busett sampe skrg jg blm hidup, ini paksa pake genset krn udh gada air samsek dan cuman untuk hidupin wifi doang 😭🙏🏻","23/5/2026, 13.17.35","3","No","5","No","https://www.tiktok.com/@matchacihyu"
"=""7642966080366363399""","=""7613770549411791873""","sheeniko","DIVA~sheen💜","spil dong kalian hidup lampu nya jam berapa,spil juga daerah mana,gua tebingtinggi,hidup lampu nya jam 1 siang","23/5/2026, 13.19.19","3","No","21","No","https://www.tiktok.com/@sheeniko"
"=""7643083345824809749""","=""6871927443881837570""","icaaja284","Icaaja284","SATU LAGI...
Berkurang yg Pake HP
krn hbz Batre🤣","23/5/2026, 20.47.15","4","No","3","No","https://www.tiktok.com/@icaaja284"
"=""7642920967698891536""","=""7153207155252118529""","zenithazan","Zenitha","[Stiker] baru idop","23/5/2026, 10.17.24","2","No","4","No","https://www.tiktok.com/@zenithazan"
"=""7642981744806773511""","=""7620852102160385045""","noribon01","H°•","tempat aku belum hidup hidup njir😭","23/5/2026, 14.12.48","15","No","4","No","https://www.tiktok.com/@noribon01"
"=""7642955397728305940""","=""7237780151241016325""","ndiiii243","dyzah","mana katanya sampek tanggal 25 setiap malam ya mati lampu😭","23/5/2026, 12.30.40","5","No","3","No","https://www.tiktok.com/@ndiiii243"
"=""7643040196820353793""","=""7443415103133205525""","bil53512","bil","tempatku belum hidup"" sampe skrang woyy dari tadi mlm😭","23/5/2026, 17.59.36","5","No","1","No","https://www.tiktok.com/@bil53512"
"=""7642931759118467858""","=""6853252792946721797""","rebeccatobingg_","Rebecca Tobing","baru hidup jam 10.30 mantap kali pln ini kann","23/5/2026, 10.58.57","40","No","7","No","https://www.tiktok.com/@rebeccatobingg_"
"=""7643109728181584660""","=""7524332422059344901""","jenfuckingcares","janeeeiee","aku kira cowoku meninggal di temapt kwnnya, mati lampu rupanya kek mna lg LDR INI","23/5/2026, 22.29.30","3","No","2","No","https://www.tiktok.com/@jenfuckingcares"
"=""7643034495943901959""","=""6816612389842060290""","mhd.alfarizi26","ᅠ","gua dari tdi mlm, sampe sekarang blm hidup lampu anjay, ini tiba"" aja ada jaringan 😭","23/5/2026, 17.37.31","4","No","6","No","https://www.tiktok.com/@mhd.alfarizi26"
"=""7642975281729766152""","=""7075175306038936603""","navinne_","911 nnaakenn","ini aja baru idup jir💔💔","23/5/2026, 13.55.39","6","No","1","No","https://www.tiktok.com/@navinne_"
"=""7642937791269700360""","=""6859956220439708674""","hereisalsa","salsabila","Marelan sampe sekarang belum idup lampuu","23/5/2026, 11.22.17","8","No","4","No","https://www.tiktok.com/@hereisalsa"
"=""7643095060741292816""","=""7241773018384909313""","dinnnnn_001","Dinnnnn_.","Emang d sna jarang matlis kah ?","23/5/2026, 21.32.46","0","No","2","No","https://www.tiktok.com/@dinnnnn_001"
"=""7642970811707933460""","=""6686674355848987649""","_matcha51","sedaa","WOI BARU HIDUP BINJE NI BARU BISA JARINGANKU😭","23/5/2026, 13.30.29","3","No","4","No","https://www.tiktok.com/@_matcha51"
"=""7643000777199436551""","=""7264474912877413382""","zahraanasutionn","Zahra Aleysha  Nasution","Tembung idup jam 4 subuh dan masi idup🤣alhamdullilah","23/5/2026, 15.26.39","3","No","2","No","https://www.tiktok.com/@zahraanasutionn"
"=""7642872658552488725""","=""6950979838341661698""","dinilim08","dinilim08","aku di Tembung jam 21.30 Uda hdp","23/5/2026, 07.09.57","0","No","6","No","https://www.tiktok.com/@dinilim08"
"=""7642951031497179905""","=""6718912580352181250""","byyestlefleur","Flowy","wehh untung smlm ujan klo ga apa ga kepanasan pas tdr😭😭gbisa tdr pun mgkn","23/5/2026, 12.13.44","4","No","3","No","https://www.tiktok.com/@byyestlefleur"
"=""7643030452357317397""","=""7305627220973700102""","thiscindyy","cindyy🧚🏻‍♀️","mati lampu lagii😭","23/5/2026, 17.21.50","0","No","1","No","https://www.tiktok.com/@thiscindyy"
"=""7643005486615036673""","=""6948798612651164674""","darkmoonwan","MOONWAN","mati lampu sih mati lampu tapi sinyal Telkomsel jangan ilang juga dong, berasa bgt panik nya😭","23/5/2026, 15.44.55","11","No","1","No","https://www.tiktok.com/@darkmoonwan"
"=""7642997063148552967""","=""7146882168714003457""","blokeeskeanu1_2","blokees keanu","[Stiker] gua yang rumah nya dimedan dan mati lampunya maghrib","23/5/2026, 15.12.18","3","No","4","No","https://www.tiktok.com/@blokeeskeanu1_2"
"=""7642946332109800199""","=""7501578704692626448""","ghazkhabib","GHAZXBIANZZ🇺🇸","lihat nih kak aku bawa Cok Sambong semua numpang cas","23/5/2026, 11.55.26","0","No","2","No","https://www.tiktok.com/@ghazkhabib"
"=""7642875105618002704""","=""6752150873059951617""","kaktussilence","Kaktus 🌵","tebing masih belum nyala sampe sekarang🔥","23/5/2026, 07.19.10","8","No","3","No","https://www.tiktok.com/@kaktussilence"
"=""7642935330828796692""","=""6962187504694936577""","jjesiien","Jee","Baru hidup lek","23/5/2026, 11.12.59","3","No","1","No","https://www.tiktok.com/@jjesiien"
"=""7643029347424011029""","=""6977605146168869889""","wennyanggraini530","Wenny Anggraini🦀","bentar lagi mati lgi lampu ku ni😌","23/5/2026, 17.17.47","0","No","2","No","https://www.tiktok.com/@wennyanggraini530"
"=""7643046234567050005""","=""6711531958873359362""","zxngaa_","razzynga","Tim yg hidup jam tgh 3 tdi😭😭","23/5/2026, 18.23.04","0","No","2","No","https://www.tiktok.com/@zxngaa_"
"=""7643278684560818960""","=""7618968025786074128""","baper_cabut.07","√mamz aja ✌️","[Stiker] boleh liat story aku gak","24/5/2026, 09.25.36","1","No","0","No","https://www.tiktok.com/@baper_cabut.07"
"=""7642886490581779217""","=""7259296351384552453""","alter_ego000000","Alter ego | tia","Semua listrik mati yang disebut tetap “mati lampu”","23/5/2026, 08.03.39","19","No","2","No","https://www.tiktok.com/@alter_ego000000"
"=""7642856411207516936""","=""7479304580036248584""","hari.novita","ITA","dimana Masi hidup lampu di Langkat mati dari jam 18.55 semalam sampai sekarang GK hidup lampu","23/5/2026, 06.06.53","22","No","15","No","https://www.tiktok.com/@hari.novita"
"=""7643130317343933192""","=""98435114211""","hanyahaluansaja",".","asli ah tadi pagi mau ngisi air minum pun ngantrinya panjang mana harganya di stel naek lagi jadi 7rb per galon","23/5/2026, 23.49.22","6","No","1","No","https://www.tiktok.com/@hanyahaluansaja"
"=""7643000403865486098""","=""6958654997018706949""","xmin021","Minanti","Binje baru bget ini hidup😭","23/5/2026, 15.25.18","6","No","3","No","https://www.tiktok.com/@xmin021"
"=""7643012032816202517""","=""6974202438237357057""","sindyrahmaa_18","𝓒𝓲𝓷𝓭𝔂","informasinya katanya tiap mlm mati lampu lgi,smpe 8-10jm tgl 25 apa ga menyala kali 😭","23/5/2026, 16.10.28","1","No","1","No","https://www.tiktok.com/@sindyrahmaa_18"
"=""7643013538462941973""","=""7221095651639100418""","sitifatimah_274","Siti Fatimah🥀","bsok MLM jgn mati lampu pliss,bsok MLM gua lamaran 😭","23/5/2026, 16.16.20","3","No","1","No","https://www.tiktok.com/@sitifatimah_274"
"=""7642993153494795029""","=""7106843053131351041""","lizzaningtiyas0","lisa0","jam 14:56 ini baru hidup setelah mati listrik nya jam 18.00😭","23/5/2026, 14.57.09","1","No","2","No","https://www.tiktok.com/@lizzaningtiyas0"
"=""7642899122349212423""","=""6586805811879329793""","hiiniciti","hii ini citii 26🧚","ih di sini blm idup","23/5/2026, 08.52.13","1","No","3","No","https://www.tiktok.com/@hiiniciti"
"=""7643039569234952967""","=""7313770160669738002""","cindyaulia_nst","Cindy Aulia nasution","Dri maghreb baru idop jam /6,","23/5/2026, 17.57.11","3","No","1","No","https://www.tiktok.com/@cindyaulia_nst"
"=""7643124127738528530""","=""7263254050405630981""","apaansih19905","Hann👣👣","anak wifi apa kabar","23/5/2026, 23.25.24","2","No","0","No","https://www.tiktok.com/@apaansih19905"
"=""7643030527528502037""","=""6796778388298466305""","yangterindah111212","ARSITA 111212","BENGKULU SAAT INI MATI LAMPU LAGI..TADI MALAM UDAH MATI SEMALAMAN SEKARANG MATI LAGI😳","23/5/2026, 17.22.28","2","No","1","No","https://www.tiktok.com/@yangterindah111212"
"=""7642940680620786452""","=""6790179491752166402""","linda705sn","linda sari ningsih","POV Medan tercepat kayaknya ,😂","23/5/2026, 11.33.36","1","No","1","No","https://www.tiktok.com/@linda705sn"
"=""7643020601700172564""","=""6802901559136289793""","fthiisaa","asaa","LUCUU KALIIII","23/5/2026, 16.43.52","0","No","0","No","https://www.tiktok.com/@fthiisaa"
"=""7643064120212538129""","=""6891854931767329794""","matcha4chi11","matcha4chi11","baru bisa scrol tiktok aku setelah menghemat batre dri smlmn tambah lgi gd sinyal,puki memang😭","23/5/2026, 19.32.32","3","No","0","No","https://www.tiktok.com/@matcha4chi11"
"=""7642931735797285649""","=""7200303391879758875""","ludnoottt","abcdlannnn","Duitt Orang Kok BanyakBanyak Kali Yaa.Aku Malah Diem DiRumah Sambil Ngipasin Pakek Bekas Kardus Minuman🤣","23/5/2026, 10.58.46","2","No","0","No","https://www.tiktok.com/@ludnoottt"
"=""7642940087898407688""","=""6954735774513431553""","juwitapanjaitan_04","secret_jouju","jaringan woi ilang ya ampunn","23/5/2026, 11.31.11","2","No","0","No","https://www.tiktok.com/@juwitapanjaitan_04"
"=""7643115283612189447""","=""7562907099828306945""","clemiraz06","clemiraz06","Pas genset idup inilah krj kami 😂","23/5/2026, 22.51.01","2","No","0","No","https://www.tiktok.com/@clemiraz06"
"=""7643088332964954881""","=""6926047834594034689""","rifani_774","Rifani Anisa Putri_","banyak x nyamok kak pening kali kepala","23/5/2026, 21.06.38","5","No","0","No","https://www.tiktok.com/@rifani_774"
"=""7642950021084775188""","=""7489792292673586184""","mumuwwt","ティア","yeyy akhirnya idop lampu rumah ku","23/5/2026, 12.09.59","3","No","0","No","https://www.tiktok.com/@mumuwwt"
"=""7642963872316752660""","=""7634523326170416149""","ndary862","ndary","baru idup","23/5/2026, 13.03.36","3","No","0","No","https://www.tiktok.com/@ndary862"
"=""7643217106050237200""","=""6772975339428037634""","fwzzrfif","mhdfawwaz_","mo flexing dulu aku we 😋","24/5/2026, 05.27.11","2","No","0","No","https://www.tiktok.com/@fwzzrfif"
"=""7643041553728242448""","=""6938732579173778434""","cotep_21","🌬𝙷'SiaN💨","laporan ini yg d tunggu2","23/5/2026, 18.05.05","2","No","0","No","https://www.tiktok.com/@cotep_21"
"=""7643103096642126612""","=""7560010632545928212""","aulia_aul8","aul ul ul ♊️","[Stiker] dimana idup lampu disitu kita numpang cas 😭","23/5/2026, 22.03.48","3","No","0","No","https://www.tiktok.com/@aulia_aul8"
"=""7642920243866043156""","=""7257853784797234183""","kim_ipl","Kim_ipul💕","keknya hanya sekitar 6 jam aja kurang lebih Udh seviral ini yak SIBOLGA TAPTENG 10 Hari Tanpa listrik 😁😂","23/5/2026, 10.14.16","3","No","1","No","https://www.tiktok.com/@kim_ipl"
"=""7643135722031923975""","=""7496679957177189377""","evelyncute36","𝘽𝘼֟𝘼𝘽𝙔 𝙉𝙄𝘼 🐣ʚɞ","trauma ga lagi lagi dah, hp rusak gegara cas pke genset","24/5/2026, 00.10.19","1","No","1","No","https://www.tiktok.com/@evelyncute36"
"=""7642994344874754836""","=""6890551646343201794""","ingrid.ethereal","ingrid ˚୨୧⋆｡","info medan pancing jam berapa hidup lampu ini weeeee","23/5/2026, 15.07.42","1","No","0","No","https://www.tiktok.com/@ingrid.ethereal"
"=""7642912130069365524""","=""6788798443361895425""","libragirl20100","audriiiiiiiiii🌹","Tembung pasar 7 blm ada sama sekali idup anjaiii gada airrr mo mandi mo kerjaaaa 😤","23/5/2026, 09.43.00","1","No","2","No","https://www.tiktok.com/@libragirl20100"
"=""7642912640247841552""","=""7614719298086978568""","ka_tiwiii","Suciiiww","Sampe skrng di rmh ku gak idup lampu nya untung di kerjaan udh hidup","23/5/2026, 09.44.41","9","No","4","No","https://www.tiktok.com/@ka_tiwiii"
"=""7642977334362702599""","=""7443754907989722168""","binikevan2","Ddongsik's mom","lah kalian mati lampu ada jaringan?","23/5/2026, 13.55.42","1","No","1","No","https://www.tiktok.com/@binikevan2"
"=""7642995837614064392""","=""6852711436490507266""","ghafurandy","andyghafur","yg belum hidup lampu, kek nya itu yg pake PLTU, agak lebih lama wak","23/5/2026, 15.07.28","1","No","3","No","https://www.tiktok.com/@ghafurandy"
"=""7642913759564235528""","=""7128021012948009986""","dhraaa_yf","◡̈","Demi apa ke SM raja dari tamora hanya untuk cari sinyal internet 😭","23/5/2026, 09.49.03","5","No","3","No","https://www.tiktok.com/@dhraaa_yf"
